Country Name,Country Code,Income Group,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Barbados,BRB,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,7711.295456,7714.742746,7444.178173,7819.570003,8121.561919,8335.899293,8851.046458,9315.967566,10459.44247,10914.28224,11268.42006,11209.42112,11361.51677,11699.37047,12512.57797,13822.74175,15199.56753,16770.66103,17092.58214,15885.41018,16056.37098,16458.35321,16249.67395,16451.27931,16489.07224,16524.8995,16900.04829,17391.66891,17745.25537
Belarus,BLR,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,2124.767944,1765.735895,1667.605057,1590.088117,1460.0655,1370.699283,1452.507105,1396.442019,1511.325316,1210.61172,1276.288034,1244.373185,1479.314583,1819.766059,2378.623286,3125.810535,3847.434124,4735.657608,6377.369732,5352.583912,6033.686239,6527.173869,6953.132515,7998.125239,8341.399679,5967.052204,5039.681886,5785.670673,6360.062473
Belgium,BEL,Lower middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,20600.37528,21041.66065,23372.61917,22283.93602,24208.55479,28413.82644,27489.55518,24820.93805,25338.44329,25252.80191,23098.88651,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44760.29124,44184.94635,47410.56693,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47542.76952
Belize,BLZ,Lower middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,2197.161593,2326.724165,2668.531422,2834.688425,2882.152083,2997.760458,3003.182627,2954.227237,2993.033599,3066.095138,3364.491731,3404.420586,3526.081513,3650.60647,3802.26316,3885.034074,4155.323885,4252.395404,4404.308198,4186.519998,4270.780085,4423.496842,4505.600593,4568.641228,4718.436581,4770.232656,4856.973249,4945.857699,5001.422157
Benin,BEN,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,393.686768,385.7538407,317.962736,411.9261797,279.666749,367.3877143,387.4320982,361.0999824,379.4417675,551.8214294,512.673902,518.0674741,574.9297982,711.2849548,798.7443045,822.7851431,856.0549166,966.2036183,1125.426134,1088.757906,1036.534515,1130.273251,1145.140105,1251.209767,1291.410185,1076.796698,1087.287331,1136.593872,1241.825298
Bermuda,BMU,Lower middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,26841.51974,27700.31006,28669.68171,30900.69428,31476.06372,33989.72316,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,95221.85887,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113023.1856
Bhutan,BTN,Lower middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,541.9322571,449.5012422,449.4004282,424.3378418,486.9019801,543.3016187,560.391079,638.4858666,643.9882263,690.9127435,718.196337,764.4328082,845.5006721,962.0953713,1068.431811,1228.432356,1330.977444,1757.190496,1828.154677,1819.19731,2258.186435,2563.261224,2538.949519,2472.724753,2652.225654,2752.630172,2930.574923,3286.596744,3243.477437
Bolivia,BOL,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,709.0599824,762.0777071,788.15232,784.1909887,801.0461369,880.9926864,950.8563862,998.5159532,1049.499374,1003.392231,997.5817489,948.8702113,904.2257999,907.5374158,967.4064586,1034.3118,1218.87407,1372.628368,1715.208393,1754.209464,1955.460182,2346.337844,2609.880562,2908.20037,3081.878823,3035.971655,3076.65644,3351.124344,3548.59078
Bosnia and Herzegovina,BIH,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,319.012792,487.4769045,740.0996865,982.8018491,1102.390688,1251.747595,1484.176056,1544.602075,1789.857691,2258.946452,2698.46718,2980.601268,3416.512376,4193.368011,5090.945834,4714.693746,4635.510195,5092.554723,4777.066914,5129.663534,5330.355075,4729.689959,4994.971551,5394.268944,6070.349081
Botswana,BWA,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,2945.83204,2972.728953,3040.989396,2973.380401,2970.118425,3219.914242,3221.689056,3258.982428,3039.964944,3405.821058,3522.310821,3278.016079,3190.624811,4330.972369,5073.520408,5513.331063,5521.990608,5832.737052,5713.543931,5255.776533,6434.812485,7617.310041,7050.573472,7224.912737,7495.220866,6402.910183,6982.917492,7296.092142,7503.878588
Brazil,BRA,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,2622.262881,2259.239894,2127.50719,2348.090047,3295.244924,4748.388208,5166.163933,5282.04947,5087.079072,3479.843833,3749.910848,3160.249345,2839.491501,3070.436419,3637.31389,4790.456566,5886.391522,7348.187963,8831.183643,8597.794335,11286.07154,13245.38737,12370.22325,12300.38671,12112.83496,8813.989806,8710.06329,9928.675897,9151.381732
British Virgin Islands,VGB,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,13607.89027,13905.16834,15274.66771,14575.57459,14120.95256,15933.45283,16793.39123,16660.14763,12694.14896,14101.17285,18012.50219,16472.00329,16850.39408,18560.5035,21902.02712,26105.42203,30979.96284,32663.39237,37934.67645,27956.00514,35270.64214,47055.96064,47739.55769,44740.85942,41725.86752,31164.03625,27158.40565,28571.60829,31628.47626
Bulgaria,BGR,Low income,GDP per capita (current US$),NY.GDP.PCAP.CD,2366.529821,1267.734375,1211.980878,1278.247173,1148.494399,2258.286018,1470.103703,1361.392386,1820.405094,1659.718346,1621.242961,1770.913534,2092.957694,2719.497656,3389.707049,3899.907638,4523.050833,5885.104348,7265.735497,6988.233325,6853.002854,7849.165283,7432.478766,7681.93462,7901.785876,7074.681023,7569.478815,8366.293221,9446.700772
Burkina Faso,BFA,Low income,GDP per capita (current US$),NY.GDP.PCAP.CD,351.9792335,346.4105959,361.0468756,334.943237,193.0702802,235.8321506,249.3605589,229.4929493,255.7182367,300.4217239,255.7186873,267.0975996,294.6653885,374.627358,418.3766603,457.9334308,473.4498682,535.0622795,643.404581,624.1751645,647.8360955,751.1727704,758.000427,787.4694383,792.8462374,653.3272681,688.2506963,734.996268,804.5005378
Burundi,BDI,Lower middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,208.1466789,209.778011,190.4888799,161.887525,156.812381,167.0988878,143.4023238,158.9146699,144.4930173,128.9389187,136.4639708,134.3634269,123.1175361,113.5672513,128.3367028,151.6815663,167.3764625,172.4955966,198.3528517,212.1370572,234.2355389,249.5779794,252.3588707,256.9756526,274.8578362,305.5496525,260.5652208,253.8263541,238.783467
Cabo Verde,CPV,Lower middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,908.0881284,923.7442808,1003.929541,1339.729577,1080.156565,1261.103098,1269.120577,1213.632864,1265.19785,1408.986203,1259.353067,1292.226512,1401.891073,1809.11003,2024.266381,2099.148417,2361.380101,3186.779935,3721.219993,3517.430156,3378.323433,3740.374103,3447.4831,3616.03557,3588.625584,3043.031382,3130.998753,3289.902203,3616.464537
Cambodia,KHM,Lower middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,254.1166348,270.5429401,322.9315754,319.2863136,304.7647688,268.9903722,295.9031784,300.613679,321.1502236,338.9874773,362.3354822,408.5136388,474.1111921,539.7503289,631.5252576,745.609127,738.0547312,785.5026671,882.275614,950.880346,1013.420536,1093.495976,1162.904995,1269.591499,1385.260066,1512.126989
Cameroon,CMR,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,1045.364362,975.4719489,965.7807389,1257.905709,672.848688,798.8813102,794.0511616,752.1698237,767.3403603,765.3103315,681.102043,687.6481344,759.1118514,950.5648637,1090.785332,1100.174926,1147.4366,1277.516807,1439.547804,1411.474572,1352.302275,1465.145788,1403.522915,1527.751257,1604.214035,1382.50979,1413.255957,1469.4475,1585.240534
Canada,CAN,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,21448.36196,21768.34329,20879.84833,20121.16125,19935.38146,20613.78788,21227.34753,21901.56285,21024.58507,22315.24667,24271.00206,23822.06012,24255.33858,28300.4631,32143.68141,36382.50792,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46548.63841
Cayman Islands,CYM,Low income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,82801.54266,85433.03094,85188.33704,77400.42144,73351.75677,72329.66133,72777.14849,73514.66868,74990.43322,76284.19393,78471.62873,81513.16302,86059.73922
Central African Republic,CAF,Low income,GDP per capita (current US$),NY.GDP.PCAP.CD,513.3041877,478.5032764,477.1223243,419.8027038,271.5054976,346.1081962,304.6310755,276.4215961,278.3319015,280.9084242,251.2072914,250.3571459,260.7454587,293.661549,320.7368123,331.1630882,354.6708633,404.3745429,464.5612047,474.7056275,488.4217358,551.7497219,565.8012071,380.2979111,424.4491317,377.4229177,402.1916451,450.9006579,475.9538139
Chad,TCD,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,291.5533573,304.8744725,296.0396966,222.9231832,173.9902724,206.2606526,221.6730401,205.8626958,224.5537395,190.5590719,166.1757089,197.1460821,221.4165369,292.6008802,454.3363652,658.566973,710.3963987,799.603742,929.3827519,803.6863884,892.5688697,984.7361305,967.3529488,979.8117426,1020.287979,776.0197523,693.4497674,665.9488849,726.1510071
Channel Islands,CHI,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,40584.82851,42444.00762,43382.82685,41804.37092,44545.92231,48858.83186,56751.12694,58198.98418,63243.37383,74458.79467,,,,,,,,,,,
Chile,CHL,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,2494.526796,2803.562714,3350.214089,3535.17436,4024.215228,5107.277513,5349.805227,5745.371076,5446.579522,4957.777557,5074.902616,4574.594716,4446.249371,4772.563723,6194.85272,7598.528877,9464.548507,10502.35071,10751.4816,10208.90797,12808.03834,14637.23344,15351.54074,15842.93648,14670.98891,13574.16924,13753.59215,14998.81706,15888.14436
China,CHN,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,317.884673,333.1421454,366.4606923,377.3898395,473.4922787,609.6566792,709.4137551,781.7441643,828.5804793,873.2870617,959.3724836,1053.108243,1148.50829,1288.643252,1508.668098,1753.417829,2099.229435,2693.970063,3468.304602,3832.236432,4550.453108,5614.352135,6300.615118,7020.338485,7636.116601,8016.431435,8094.363367,8816.986905,9905.342004
Colombia,COL,Lower middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,1445.32863,1456.694357,1697.112936,1893.542212,2284.838813,2539.912877,2620.538762,2827.379527,2566.024194,2209.93165,2520.481089,2439.682456,2396.627127,2281.401762,2782.623185,3414.465158,3741.092837,4714.073055,5472.53653,5193.241458,6336.709474,7335.166934,8050.255372,8218.347844,8114.343921,6175.87603,5870.777957,6376.706716,6729.583332
Comoros,COM,Lower middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,1043.790659,1000.556291,1047.965144,1008.038469,690.4672501,838.171684,810.5475521,726.0523149,718.1212694,723.1782555,647.4258118,680.9055728,747.9888625,937.7108963,1061.075548,1069.029426,1114.945281,1240.092528,1393.216032,1344.730406,1316.491213,1447.945144,1403.360252,1505.337292,1513.830379,1242.585608,1273.050952,1323.814843,1428.290463
"Congo, Dem. Rep.",COD,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,270.1305434,268.2924969,220.3680073,275.8216169,145.0956035,135.8235936,134.9951648,138.9790482,138.5891003,102.5979732,405.2162186,153.5910441,175.009951,173.7961252,194.0400026,218.3862267,255.4330432,286.3304725,327.5637218,298.6196916,334.0215777,387.082477,424.6003738,457.9637475,486.7870951,497.3170391,471.3188225,467.0742317,560.8073582
"Congo, Rep.",COG,Lower middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,1187.549772,1124.897863,1178.027111,1048.612991,672.1631948,781.5250117,912.0123512,810.0766444,660.4714774,774.7119448,1032.137542,869.1005017,916.5880378,1028.415222,1326.596688,1834.880014,2153.491743,2262.85441,2892.416962,2336.160957,3073.557784,3557.55617,3923.093509,3883.746848,3776.485568,2447.539308,2050.993415,2169.991504,2606.615331
Costa Rica,CRI,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,1831.000151,2247.373379,2605.805225,2841.64278,3031.888771,3265.693381,3215.105687,3391.977735,3597.434509,3668.802068,3789.053886,3960.307703,4042.705686,4147.824369,4404.711884,4676.379366,5227.465952,6103.741917,6901.388306,6801.036735,8227.127494,9229.834517,10075.00462,10744.09102,10847.16967,11642.77805,12011.22275,12225.57449,12485.4239
Cote d'Ivoire,CIV,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,905.3220195,848.7531159,870.4807017,832.2830587,605.2633669,774.6713757,1232.253656,1192.779461,1258.52471,1177.040794,1007.46739,997.4787843,1047.752265,1207.512648,1308.28782,1309.591653,1347.988824,1500.167805,1738.192101,1689.344762,1701.475702,1744.938897,1684.781586,1935.946845,2156.645883,1972.545683,2013.381448,2111.026557,2314.050958
Croatia,HRV,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,4917.085371,5283.005005,5312.369502,5691.10952,5246.935968,4887.713716,5412.925136,6293.225299,8129.794584,9747.440771,10621.50746,11797.47447,14046.31681,16416.58681,14653.04355,14067.52312,14757.18034,13401.65662,13837.73164,13762.37286,11933.37738,12527.73986,13629.28959,15227.5601
Cuba,CUB,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,2703.168294,2278.210387,2057.103595,2073.093712,2624.757035,2794.738808,2286.929054,2308.146615,2331.462691,2558.904101,2747.100303,2837.73573,2999.241763,3197.133185,3395.710843,3786.66345,4683.569067,5208.718388,5411.269492,5529.669375,5730.354264,6139.718783,6497.314764,6837.71168,7133.337679,7694.014637,8060.796598,8541.213686,8824.194008
Curacao,CUW,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,20146.38641,20587.39736,20462.71795,20258.00969,19951.3279,19555.36585,19457.53152,19630.89349
Cyprus,CYP,Low income,GDP per capita (current US$),NY.GDP.PCAP.CD,9641.575273,9696.099593,11310.07192,10526.14177,11617.69278,15261.41056,15139.22613,14234.24438,15092.82625,15287.91913,14388.34806,14821.44682,16093.21461,20252.23898,23792.62136,24959.25917,26729.3234,31244.92622,35397.36368,32109.24251,31023.63833,32396.38574,28912.15694,27729.1927,27163.33297,23408.33668,24605.92083,26608.87509,29334.11093
Czech Republic,CZE,Low income,GDP per capita (current US$),NY.GDP.PCAP.CD,3941.503094,2896.609131,3372.86543,3956.17835,4630.551217,5824.121291,6532.837055,6034.488437,6489.703619,6337.41912,6029.038193,6637.041657,8060.868703,9818.568493,11749.85266,13430.6699,15261.79759,18466.54793,22804.57768,19861.69743,19960.06849,21871.26608,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23419.73561
Denmark,DNK,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,26891.44645,27011.37746,29569.66036,27597.97523,29995.57962,35351.36546,35650.71409,32835.93994,33368.14242,33440.79481,30743.54768,30751.65435,33228.69354,40458.7774,46511.59833,48799.8256,52026.99951,58487.05497,64322.0635,58163.27688,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61591.92887
Djibouti,DJI,Lower middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,766.1474429,762.0125774,777.2673846,753.5092242,790.034804,789.5555265,767.5062771,760.6407761,755.7594723,765.8583232,768.1835703,780.9039613,791.3841807,818.8687857,863.2360874,904.7366795,967.6795838,1052.719117,1223.852363,1267.317394,1343.275125,1451.548081,1559.240651,2312.720948,2464.294905,2658.949245,2802.166204,2914.358197,3141.861711
Dominica,DMA,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,2860.322479,3122.653182,3317.824671,3466.998869,3721.272367,3860.800538,4120.581185,4292.11368,4593.863345,4751.092101,4787.801441,4883.003024,4770.851894,4897.308367,5216.872434,5160.889141,5518.4232,5951.863413,6468.944767,6903.145806,6967.364955,7065.460372,6849.455933,7016.380071,7317.486143,7597.288894,8080.968623,7274.517731,7687.462963
Dominican Republic,DOM,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,991.6148411,1351.2985,1566.529623,1733.399536,1905.943496,2127.748089,2293.754381,2476.060403,2638.31327,2653.225124,2869.178139,2977.43451,3110.325447,2418.350422,2487.329061,3932.784407,4109.033591,4707.795052,5087.983213,5039.403122,5555.392014,5913.426649,6110.366576,6238.132367,6608.825501,6921.520594,7280.88361,7609.353275,8050.644076
Ecuador,ECU,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,1489.529946,1622.208088,1688.504752,1727.755003,2026.113077,2132.906783,2155.51815,2356.369857,2293.889735,1578.934298,1445.279324,1894.616196,2172.101877,2425.851842,2691.277685,3002.138604,3328.884156,3567.837186,4249.01897,4231.619235,4633.591284,5200.555108,5682.046108,6056.331213,6377.093929,6124.490887,6060.092962,6213.503127,6295.934662
"Egypt, Arab Rep.",EGY,Lower middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,765.6420055,651.0775476,713.4525483,777.8577351,849.4524991,965.1108694,1063.333044,1208.71992,1281.396914,1343.551963,1450.476242,1378.203383,1191.103239,1102.468199,1062.158092,1186.393313,1397.43669,1667.317998,2044.527804,2331.26884,2645.968759,2791.810766,3229.68563,3262.657586,3379.557986,3562.932658,3519.87324,2444.290387,2537.125185
El Salvador,SLV,Lower middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,914.1317947,983.1815042,1073.310253,1216.700841,1380.708375,1585.108896,1684.784505,1778.836337,1886.359966,1930.627457,2001.540049,2072.301591,2124.10182,2209.497245,2278.43033,2428.568879,2631.822739,2786.157774,2933.39424,2858.483344,2983.228806,3266.010978,3428.409332,3509.526536,3589.042885,3705.579704,3805.995686,3910.254403,4052.624775
Equatorial Guinea,GNQ,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,267.4680729,256.2263358,301.177109,294.0705049,210.4095434,285.5525482,450.6460023,824.5510831,663.7247513,1067.643955,1725.557584,2313.165937,2744.191483,3618.544476,6152.131238,10963.40638,12857.36882,15908.41119,22942.6101,16668.1217,17288.8426,21641.6939,21711.15159,20390.73727,19394.08066,11283.39805,9250.316493,9667.857801,10005.61679
Eritrea,ERI,Low income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,211.3320034,208.9994799,239.6680867,262.2305348,315.7506824,312.724395,337.8865923,307.9099092,308.1341868,316.8239534,293.9556724,334.5855715,407.769077,388.5959475,415.0360305,439.8321034,450.6323989,595.1099872,501.355317,642.5082588,,,,,,,
Estonia,EST,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,3134.389753,3380.926302,3682.952301,4093.392477,4140.936602,4070.609024,4505.858332,5341.628947,7203.523038,8914.103557,10412.64431,12639.40007,16744.58445,18204.96648,14711.73527,14663.04461,17487.80478,17403.20533,19056.00192,20261.06673,17402.03761,18295.34293,20437.76538,23063.56382
Eswatini,SWZ,Lower middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,1355.389001,1367.783196,1481.861181,1528.892444,1563.749507,1833.099316,1695.134775,1781.888523,1609.214093,1557.063331,1728.710498,1521.769075,1405.448706,2148.632475,2699.130742,3083.838141,3176.691168,3327.445134,3137.387266,3385.858846,4168.489403,4496.613361,4527.565039,4230.171266,4039.159341,3680.349473,3425.531957,3914.418484,4105.893683
Ethiopia,ETH,Low income,GDP per capita (current US$),NY.GDP.PCAP.CD,254.2432622,271.3943735,204.0501815,165.693228,125.5495813,134.3429602,145.1669013,141.5086199,125.0761411,119.6840763,124.4607909,120.7657837,111.9272251,119.490396,136.46625,162.4327286,194.6874329,244.2860523,326.4368228,380.5690032,341.5541227,354.4795719,467.0778718,499.5315302,566.9264029,640.5419231,717.1248698,768.5230154,771.5248663
Faroe Islands,FRO,High income,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,24035.28964,24129.41289,22651.86198,24418.70328,26731.65857,31493.31915,35467.17547,36198.54377,41521.67506,47885.69888,50863.95379,47441.91598,48541.40119,52092.60338,49459.71723,54843.31929,59433.83457,52400.29728,56854.10265,59993.09063,62918.14619
Fiji,FJI,Upper middle income,GDP per capita (current US$),NY.GDP.PCAP.CD,1835.123058,1881.761794,2058.379603,2167.095454,2384.726456,2540.980879,2713.827761,2636.67216,2066.068854,2401.686422,2069.317455,2030.246351,2248.714191,2818.91392,3311.159895,3627.632856,3715.932657,4040.152119,4167.694935,3362.820495,3652.535933,4371.447385,4591.577015,4840.72727,5605.609148,5390.714207,5651.272721,6101.02389,6317.41372
